4.86E+02	1.25E+01	4.65E-03
8.30E+02	7.94E+00	3.07E-03
1.01E+03	4.52E+01	1.07E-02
1.41E+03	1.65E+01	5.19E-03
1.63E+03	1.96E+01	6.51E-03
1.95E+03	8.09E+01	1.68E-02
2.23E+03	1.04E+02	5.64E-02
2.32E+03	9.21E+01	4.72E-02
2.41E+03	7.94E+01	3.19E-02
2.48E+03	4.15E+01	2.53E-02
4.90E+02	8.95E+01	1.24E-01
9.56E+02	1.65E+02	3.92E-02
1.15E+03	2.08E+02	6.56E-02
1.44E+03	2.09E+02	8.84E-02
1.76E+03	3.18E+00	5.30E-03
1.95E+03	1.21E+02	2.12E-01
2.22E+03	7.11E+01	1.14E-01
2.32E+03	7.86E+01	1.81E-01
2.47E+03	3.72E+01	2.35E-02
4.93E+02	3.96E+01	1.50E-02
7.30E+02	4.09E+00	1.13E-03
9.03E+02	1.11E+02	2.45E-02
1.43E+03	1.03E+02	1.32E-01
1.95E+03	9.73E+01	4.10E-01
2.19E+03	6.26E+01	1.39E-01
2.45E+03	8.50E+01	3.67E-02
5.47E+02	2.76E+02	3.79E-02
9.00E+02	6.15E+01	1.06E-02
1.41E+03	3.63E+01	2.16E-02
1.59E+03	1.37E+02	1.34E-02
2.02E+03	2.20E+02	3.23E-02
2.21E+03	8.05E+01	7.35E-02
2.33E+03	2.15E+02	7.34E-02
5.03E+02	1.91E+02	9.92E-02
6.86E+02	1.00E+02	3.60E-02
8.73E+02	8.16E+01	1.71E-02
1.53E+03	2.08E+02	1.88E-02
1.87E+03	2.19E+01	3.10E-02
2.27E+03	3.42E+02	1.12E-01
5.50E+02	1.27E+02	7.54E-02
7.08E+02	5.49E+01	7.25E-02
1.32E+03	5.34E+02	3.36E-01
1.94E+03	1.54E+02	2.11E-01
2.26E+03	1.47E+02	5.49E-02
2.44E+03	1.07E+02	4.15E-02
